X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
501885.0302,6961745.9659,1,1,306549,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST,,501885,6961746,-27.467834,153.019079,BRISBANE CITY,4 - Regular,N,Hard,Easy,Easy,
501851.9274,6961717.0609,2,2,306550,Herschel St app Nth Quay (Stop 2),NORTH QUAY,,501851.9,6961717.1,-27.468095,153.018744,BRISBANE CITY,3 - Regular with seat,N,Hard,Easy,Easy,
502311.2763,6961837.2755,3,3,306547,Turbot St F/S Albert St (Stop 3),TURBOT ST,,502311.3,6961837.3,-27.467009,153.023393,BRISBANE CITY,2 - Intermediate,N,Hard,Easy,Easy,
502805.6767,6962247.3411,4,4,306512,Turbot St F/S Wharf St (Stop 4),TURBOT ST,Wharf St,502805.7,6962247.3,-27.463306,153.028396,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Medium,2018/02/06 00:00:00+00
503022.0711,6962290.3779,5,5,306524,Ann Street F/S Orient Hotel (Stop 5),ANN ST,Queen St,503022.1,6962290.4,-27.462917,153.030586,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Hard,
502880.5528,6962169.0118,6,6,306558,Ann St app Wharf St (Stop 6),ANN ST,Creek St,502880.6,6962169,-27.464013,153.029154,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017/09/26 00:00:00+00
502617.6828,6961937.347,7,7,306559,Ann St at Anzac Square,ANN ST,Creek St,502617.7,6961937.3,-27.466105,153.026494,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017/09/26 00:00:00+00
502569.063,6961895.0444,8,8,300073,Central Ann Street Stop 8,ANN ST,Edward St,502569.1,6961895,-27.466487,153.026002,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018/03/14 00:00:00+00
502466.0933,6961808.003,9,9,306560,Ann St aT KGS ,ANN ST,Edward St,502466.1,6961808,-27.467273,153.02496,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017/09/26 00:00:00+00
502266.6796,6961637.1286,10,11,306573,Ann Street Stop 11,ANN ST,George St,502266.7,6961637.1,-27.468816,153.022942,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2018/05/23 00:00:00+00
502701.5826,6962010.5455,11,12,306558,Central Ann Street Stop 6a,CREEK ST,,502701.6,6962010.6,-27.465444,153.027343,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018/05/23 00:00:00+00
502262.727,6961634.0278,12,14,701393,Ann St @ City Hall Stop 12,ADELAIDE ST,,502262.7,6961634,-27.468844,153.022902,BRISBANE CITY,2 - Intermediate,N,Hard,Hard,Hard,
502271.6952,6961511.4075,13,17,306585,Adelaide St f/s George St (Stop 17),GEORGE ST,,502271.7,6961511.4,-27.469951,153.022993,BRISBANE CITY,2 - Intermediate,Y,Hard,Easy,Easy,
502293.9287,6961530.6768,14,18,306582,Adelaide St at City Hall (Stop 18),ADELAIDE ST,George St,502293.9,6961530.7,-27.469777,153.023218,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017/09/26 00:00:00+00
502346.0039,6961571.9829,15,19,307257,Adelaide St at City Hall ,ADELAIDE ST,Albert St,502346,6961572,-27.469404,153.023745,BRISBANE CITY,1 - Premium,Y,Easy,Easy,Easy,2017/09/26 00:00:00+00
